"enseigne","ca","surface_vente","surface_totale","potentiel_Z10","potentiel_Z15","potentiel_Z20","potentiel_Z5","nb_primaire_Z10","nb_primaire_Z15","nb_primaire_Z20","nb_primaire_Z5","nb_secondaire_Z10","nb_secondaire_Z15","nb_secondaire_Z20","nb_secondaire_Z5","nb_gsa_Z10","nb_gsa_Z15","nb_gsa_Z20","nb_gsa_Z5","nb_ophtalmologiste_Z10","nb_ophtalmologiste_Z15","nb_ophtalmologiste_Z20","nb_ophtalmologiste_Z5","nb_pharmacie_Z10","nb_pharmacie_Z15","nb_pharmacie_Z20","nb_pharmacie_Z5","nb_pdv_Z10","nb_pdv_Z15","nb_pdv_Z20","nb_pdv_Z5","nb_conc1_Z10","nb_conc1_Z15","nb_conc1_Z20","nb_conc1_Z5","nb_conc2_Z10","nb_conc2_Z15","nb_conc2_Z20","nb_conc2_Z5","REVENU_TOTAL_Z10","REVENU_TOTAL_Z15","REVENU_TOTAL_Z20","REVENU_TOTAL_Z5","P10_POP_Z10","P10_POP_Z15","P10_POP_Z20","P10_POP_Z5","P10_MEN_Z10","P10_MEN_Z15","P10_MEN_Z20","P10_MEN_Z5","P10_INACT1564_Z10","P10_INACT1564_Z15","P10_INACT1564_Z20","P10_INACT1564_Z5","P10_RETR1564_Z10","P10_RETR1564_Z15","P10_RETR1564_Z20","P10_RETR1564_Z5","P10_ETUD1564_Z10","P10_ETUD1564_Z15","P10_ETUD1564_Z20","P10_ETUD1564_Z5","P10_ACTOCC1564_Z10","P10_ACTOCC1564_Z15","P10_ACTOCC1564_Z20","P10_ACTOCC1564_Z5"
"Big Bazar",2380639,193,171,2823863,4382301,3124638,1476990,16,8,11,16,33,42,36,20,71,41,58,60,28,61,30,72,46,55,118,43,5,5,1,2,3,4,0,0,1,2,0,2,3851675454,1908556755,521290308,755786667,227082,315292,96608,24782,37160,123645,131864,70377,55790,32504,33319,16664,10927,14601,4146,930,32430,35856,42757,26728,167191,104492,31025,17347
"Big Bazar",898907,265,61,3960866,3054698,2732058,1078893,11,12,20,1,33,32,19,14,87,62,64,38,12,39,22,7,62,52,130,83,1,5,4,2,0,4,5,0,1,1,0,0,1164240497,5529679270,4689165577,537146784,421647,467507,44573,73133,79777,71413,170859,104680,89582,92698,6913,2470,17875,11615,17781,2320,51873,1891,7710,26452,156900,30691,18080,77167
"Big Bazar",340116,256,226,3973610,86562,387809,2058408,15,6,28,12,12,44,24,6,92,15,63,38,40,17,45,40,87,159,51,85,6,2,1,1,2,5,0,2,0,1,1,2,973851056,3328350081,173608726,1659903728,417186,45409,162596,33247,164711,135492,106410,110494,30192,65885,2020,22322,11720,14041,4742,1938,53520,9566,26322,2550,31598,116257,120093,45458
"Big Bazar",1489954,83,356,1398267,246731,1265205,1652316,8,1,28,3,13,9,19,31,76,5,57,21,63,70,1,65,70,118,60,5,3,5,5,1,0,4,2,0,1,1,0,1,3581545980,6767951788,5050601906,2553830178,426325,413786,21881,109155,121920,90138,166606,28494,66027,102341,15277,34786,12699,20005,7544,2323,43559,1240,33447,10941,84474,89724,119746,83006
"Big Bazar",1448497,136,319,877802,599327,1027379,2319562,1,22,15,3,24,40,29,8,2,79,0,18,33,68,62,46,122,119,130,75,3,4,1,1,3,2,3,1,1,0,2,0,6759645337,681770843,3254285427,3460416849,282288,326299,159207,200274,6971,170782,103571,33629,96300,14428,59533,2360,16571,2079,25044,201,8648,14904,46740,230,111214,56621,68709,24708
"Big Bazar",294175,29,230,4409390,2624740,651609,2414437,11,18,29,10,24,54,18,10,84,16,63,40,26,23,40,47,31,16,90,33,3,2,3,1,2,2,2,0,2,0,1,0,6620558922,3487590755,6659342619,43974168,153298,115401,49006,98644,198231,122219,154796,98104,58129,22633,85287,41478,2716,6512,11921,8246,17685,31090,57881,27329,102238,128370,92091,31420
"Big Bazar",1646576,164,414,3303121,1168159,3556100,2417559,22,17,18,4,6,41,41,32,87,43,77,18,61,56,65,0,16,147,36,77,1,1,2,3,3,3,4,2,0,0,2,1,2800888015,7242775447,3970852004,2995349860,378161,13594,537488,131730,46403,23414,212220,74515,76296,83681,31520,18276,617,13010,15986,4297,55343,9452,49060,26559,139648,79725,21124,58895
"Big Bazar",1980301,258,426,3487211,4877508,25752,1975614,13,18,23,2,26,14,36,14,60,66,64,18,59,21,60,20,119,150,98,15,1,2,2,3,0,4,1,2,1,1,2,0,1775674799,2703386666,5249630490,3147673862,311648,102601,278647,132081,198271,47364,55672,67376,44119,19677,80194,42570,14832,13049,17360,4857,39161,13275,2804,2050,32855,149102,119668,53342
"Big Bazar",2203666,193,159,854316,1354091,4348514,1737102,5,7,4,2,23,50,43,9,71,16,41,40,39,49,45,9,94,42,121,78,1,5,0,2,0,1,4,1,0,0,0,0,177897298,5762758777,6410901320,1551111535,250861,283753,144040,69662,82076,43763,227846,50263,10114,30063,55756,22429,3120,15290,8019,432,35124,28450,12339,18013,68285,135211,127976,11669
"Big Bazar",2479817,44,385,1019112,2270103,3974267,2412922,7,3,24,6,6,41,42,36,20,60,80,50,75,34,47,68,31,160,95,42,4,1,3,3,3,1,1,0,1,1,2,1,389109993,4972145369,929839928,1333436422,66326,49659,8126,149547,178747,46975,170655,17562,40734,7712,59673,4975,8876,12915,8561,2850,27657,35490,4469,28125,172338,174649,137987,73644
"Big Bazar",763254,188,418,2844183,4562740,1625057,1618916,12,11,24,0,29,45,21,34,49,41,36,50,34,59,37,46,22,151,81,76,4,4,5,4,0,5,5,1,1,0,1,1,408670935,3935415077,3741095234,603696863,135086,446980,101237,108709,52038,113057,245802,109790,29931,65303,79802,2970,14840,22367,24421,577,23425,21906,2773,11006,97733,77950,154017,75928
"Big Bazar",2273619,270,298,1352543,4896159,2586378,39075,19,16,20,18,10,55,36,28,87,72,49,46,11,39,11,11,53,56,15,21,1,3,4,2,3,5,2,0,1,2,2,1,1007762698,773778003,5649706238,1789616838,23576,223549,67478,173065,130095,208703,67877,109445,20096,59645,79318,16101,5063,16271,18117,5630,29578,23678,14816,10884,139492,63272,190573,15076
"Big Bazar",1398820,266,48,1884678,1969496,1930745,1618184,19,20,9,15,19,10,5,23,88,59,22,47,6,45,48,57,100,87,39,57,0,5,4,4,2,0,5,1,2,1,2,0,4844104325,5822945870,5490903957,194379893,360056,83045,507809,154604,176644,101865,57211,80008,14822,95725,102865,33027,943,10449,1004,2489,46851,26654,12844,25366,26935,72233,19940,52783
